Influencer,Token,Tweet Time,Price @Tweet,Price @5m,Price @10m,Price @15m,% Change
@kmoney_69,$PEOPLE,2025-03-04 11:12:40 UTC,0.01805645,0.01805645,0.01805645,0.01805645,0.0
@kmoney_69,$,2025-03-04 11:11:15 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$,2025-03-04 09:37:02 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$,2025-03-04 08:55:58 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$,2025-03-04 08:01:56 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$MOG,2025-03-04 08:01:56 UTC,0.00013489,0.00013489,0.00013489,0.00013489,0.0
@kmoney_69,$,2025-03-04 07:53:33 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$CO,2025-03-04 07:53:33 UTC,0.00048992,0.00048992,0.00048992,0.00048992,0.0
@kmoney_69,$T,2025-03-04 07:53:33 UTC,0.01762403,0.01762403,0.01762403,0.01762403,0.0
@kmoney_69,$,2025-03-04 07:24:46 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$ALL,2025-03-04 07:24:46 UTC,0.00048667,0.00048667,0.00048667,0.00048667,0.0
@kmoney_69,$TIME,2025-03-04 07:24:46 UTC,14.06,14.06,14.06,14.06,0.0
@kmoney_69,$,2025-03-04 06:42:45 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$SET,2025-03-04 06:42:45 UTC,8.05e-16,8.05e-16,8.05e-16,8.05e-16,0.0
@kmoney_69,$LAUNCH,2025-03-04 06:42:45 UTC,0.074909,0.074909,0.074909,0.074909,0.0
@kmoney_69,$PEPE,2025-03-04 06:42:45 UTC,5.1432e-08,5.1432e-08,5.1432e-08,5.1432e-08,0.0
@kmoney_69,$,2025-03-04 06:19:11 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$,2025-03-04 03:57:28 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$CODED,2025-03-04 03:57:28 UTC,2.277e-05,2.277e-05,2.277e-05,2.277e-05,0.0
@kmoney_69,$MOG,2025-03-04 03:57:28 UTC,0.00013489,0.00013489,0.00013489,0.00013489,0.0
@kmoney_69,$,2025-03-04 03:03:07 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$CO,2025-03-04 03:03:07 UTC,0.00048992,0.00048992,0.00048992,0.00048992,0.0
@kmoney_69,$T,2025-03-04 03:03:07 UTC,0.01762403,0.01762403,0.01762403,0.01762403,0.0
@kmoney_69,$,2025-03-04 02:56:38 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$CO,2025-03-04 02:56:38 UTC,0.00048992,0.00048992,0.00048992,0.00048992,0.0
@kmoney_69,$T,2025-03-04 02:56:38 UTC,0.01762403,0.01762403,0.01762403,0.01762403,0.0
@kmoney_69,$,2025-03-04 02:31:14 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$BULLISH,2025-03-04 02:31:14 UTC,1.788e-05,1.788e-05,1.788e-05,1.788e-05,0.0
@kmoney_69,$CO,2025-03-04 02:31:14 UTC,0.00048992,0.00048992,0.00048992,0.00048992,0.0
@kmoney_69,$T,2025-03-04 02:31:14 UTC,0.01762403,0.01762403,0.01762403,0.01762403,0.0
@kmoney_69,$,2025-03-04 02:20:44 UTC,0.014142,0.014142,0.014142,0.014142,0.0
